row_number,section,name,unit,price,candidate_price_code,candidate_line_name,candidate_unit,candidate_price,score,confidence,source_file
108,Фундамент,Planter Standard Технониколь 40м2-1рул,рул,4738,planter_standard_roll,Planter Standard Технониколь,рул,5166,0.8415,medium,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
109,Фундамент,PLANTERBAND 10м х 10см-1шт,шт,750,planterband_item,PLANTERBAND 10м х 10см,шт,790,0.9383,medium,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
112,Фундамент,Пеноплэкс ГЕО 50 мм-1м3,м3,8800,eps_geo_100_m3,Пеноплэкс ГЕО 100 мм,м3,10000,0.7642,medium,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
112,Фундамент,Пеноплэкс ГЕО 50 мм-1м3,м3,8800,eps_geo_100_m3,Пеноплэкс ГЕО 100 мм,м3,10000,0.7642,medium,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json
112,Фундамент,Пеноплэкс ГЕО 50 мм-1м3,м3,8800,eps_geo_50_m3,Пеноплэкс ГЕО 50 мм,м3,9800,0.9306,medium,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
113,Фундамент,Пеноплэкс ГЕО 100 мм-1м3,м3,8900,eps_geo_100_m3,Пеноплэкс ГЕО 100 мм,м3,10000,0.9334,medium,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
113,Фундамент,Пеноплэкс ГЕО 100 мм-1м3,м3,8900,eps_geo_100_m3,Пеноплэкс ГЕО 100 мм,м3,10000,0.9334,medium,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json
113,Фундамент,Пеноплэкс ГЕО 100 мм-1м3,м3,8900,eps_geo_50_m3,Пеноплэкс ГЕО 50 мм,м3,9800,0.7642,medium,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
126,Плоская кровля,"Геотекстиль ТЕХНОНИКОЛЬ ПРОФ Кровля 150, 2х50м",м2,57.56,roof_geotextile_technonikol_prof_150_m2,"Геотекстиль ТЕХНОНИКОЛЬ ПРОФ Кровля 150, 2х50м",м2,64.34,1.0,high,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
126,Плоская кровля,"Геотекстиль ТЕХНОНИКОЛЬ ПРОФ Кровля 150, 2х50м",м2,57.56,roof_geotextile_technonikol_prof_300_m2,"Геотекстиль ТЕХНОНИКОЛЬ ПРОФ Кровля 300, 2х50м",м2,111.76,0.8711,high,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
95,Schiedel,"Вентиляционный канал двухходовой VENT 25/36, 0.33 пм",шт,512.4,schiedel_vent_channel_2x_36_25_item,"Вентиляционный канал 2х,36/25 см Schiedel",шт,504,0.6957,low,experiments/schiedel_vent_channels_calculator/cases/test_schiedel_vent_channels_usv/result.json
96,Schiedel,"Вентиляционный канал трехходовой VENT 25/52, 0.33 пм",шт,732,schiedel_vent_channel_3x_52_25_item,"Вентиляционный канал 3х,52/25 см Schiedel",шт,720,0.6957,low,experiments/schiedel_vent_channels_calculator/cases/test_schiedel_vent_channels_usv/result.json
100,Арматура,Арматура класса А500 диаметром 25 мм,1п.м,155.8,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.320000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
100,Арматура,Арматура класса А500 диаметром 25 мм,1п.м,155.8,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7609,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
100,Арматура,Арматура класса А500 диаметром 25 мм,1п.м,155.8,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7609,low,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
100,Арматура,Арматура класса А500 диаметром 25 мм,1п.м,155.8,rebar_a240_d8_m,Арматура класса А240 диаметром 8 мм,мп,24.000000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
100,Арматура,Арматура класса А500 диаметром 25 мм,1п.м,155.8,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.720000,0.8472,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
100,Арматура,Арматура класса А500 диаметром 25 мм,1п.м,155.8,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.8472,low,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json
100,Арматура,Арматура класса А500 диаметром 25 мм,1п.м,155.8,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.8472,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
100,Арматура,Арматура класса А500 диаметром 25 мм,1п.м,155.8,rebar_a500_d12_m,Арматура класса А500 диаметром 12 мм,мп,45.290000,0.8653,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
101,Арматура,Арматура класса А500 диаметром 20мм,1п.м,100.25,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.320000,0.7507,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
101,Арматура,Арматура класса А500 диаметром 20мм,1п.м,100.25,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7507,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
101,Арматура,Арматура класса А500 диаметром 20мм,1п.м,100.25,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7507,low,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
101,Арматура,Арматура класса А500 диаметром 20мм,1п.м,100.25,rebar_a240_d8_m,Арматура класса А240 диаметром 8 мм,мп,24.000000,0.7507,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
101,Арматура,Арматура класса А500 диаметром 20мм,1п.м,100.25,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.720000,0.8559,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
101,Арматура,Арматура класса А500 диаметром 20мм,1п.м,100.25,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.8559,low,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json
101,Арматура,Арматура класса А500 диаметром 20мм,1п.м,100.25,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.8559,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
101,Арматура,Арматура класса А500 диаметром 20мм,1п.м,100.25,rebar_a500_d12_m,Арматура класса А500 диаметром 12 мм,мп,45.290000,0.8559,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
102,Арматура,Арматура класса А500 диаметром 16 мм,1п.м,64.9,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.320000,0.7792,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
102,Арматура,Арматура класса А500 диаметром 16 мм,1п.м,64.9,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7792,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
102,Арматура,Арматура класса А500 диаметром 16 мм,1п.м,64.9,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7792,low,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
102,Арматура,Арматура класса А500 диаметром 16 мм,1п.м,64.9,rebar_a240_d8_m,Арматура класса А240 диаметром 8 мм,мп,24.000000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
102,Арматура,Арматура класса А500 диаметром 16 мм,1п.м,64.9,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.720000,0.8653,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
102,Арматура,Арматура класса А500 диаметром 16 мм,1п.м,64.9,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.8653,low,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json
102,Арматура,Арматура класса А500 диаметром 16 мм,1п.м,64.9,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.8653,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
102,Арматура,Арматура класса А500 диаметром 16 мм,1п.м,64.9,rebar_a500_d12_m,Арматура класса А500 диаметром 12 мм,мп,45.290000,0.8653,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
103,Арматура,Арматура класса А500 диаметром 12мм,1п.м,36.85,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.320000,0.7507,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
103,Арматура,Арматура класса А500 диаметром 12мм,1п.м,36.85,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7507,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
103,Арматура,Арматура класса А500 диаметром 12мм,1п.м,36.85,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7507,low,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
103,Арматура,Арматура класса А500 диаметром 12мм,1п.м,36.85,rebar_a240_d8_m,Арматура класса А240 диаметром 8 мм,мп,24.000000,0.7507,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
103,Арматура,Арматура класса А500 диаметром 12мм,1п.м,36.85,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.720000,0.8559,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
103,Арматура,Арматура класса А500 диаметром 12мм,1п.м,36.85,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.8559,low,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json
103,Арматура,Арматура класса А500 диаметром 12мм,1п.м,36.85,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.8559,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
103,Арматура,Арматура класса А500 диаметром 12мм,1п.м,36.85,rebar_a500_d12_m,Арматура класса А500 диаметром 12 мм,мп,45.290000,0.8742,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
104,Арматура,Арматура класса А500 диаметром 10 мм,1п.м,27.16,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.320000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
104,Арматура,Арматура класса А500 диаметром 10 мм,1п.м,27.16,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7609,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
104,Арматура,Арматура класса А500 диаметром 10 мм,1п.м,27.16,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.7609,low,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
104,Арматура,Арматура класса А500 диаметром 10 мм,1п.м,27.16,rebar_a240_d8_m,Арматура класса А240 диаметром 8 мм,мп,24.000000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
104,Арматура,Арматура класса А500 диаметром 10 мм,1п.м,27.16,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.720000,1.0,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
104,Арматура,Арматура класса А500 диаметром 10 мм,1п.м,27.16,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,1.0,low,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json
104,Арматура,Арматура класса А500 диаметром 10 мм,1п.м,27.16,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,1.0,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
104,Арматура,Арматура класса А500 диаметром 10 мм,1п.м,27.16,rebar_a500_d12_m,Арматура класса А500 диаметром 12 мм,мп,45.290000,0.8653,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
105,Арматура,Арматура класса А240 диаметром 8 мм,1п.м,18.5,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.320000,0.9814,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
105,Арматура,Арматура класса А240 диаметром 8 мм,1п.м,18.5,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.9814,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
105,Арматура,Арматура класса А240 диаметром 8 мм,1п.м,18.5,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,0.9814,low,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
105,Арматура,Арматура класса А240 диаметром 8 мм,1п.м,18.5,rebar_a240_d8_m,Арматура класса А240 диаметром 8 мм,мп,24.000000,1.0,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
105,Арматура,Арматура класса А240 диаметром 8 мм,1п.м,18.5,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.720000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
105,Арматура,Арматура класса А240 диаметром 8 мм,1п.м,18.5,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.7609,low,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json
105,Арматура,Арматура класса А240 диаметром 8 мм,1п.м,18.5,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.7609,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
105,Арматура,Арматура класса А240 диаметром 8 мм,1п.м,18.5,rebar_a500_d12_m,Арматура класса А500 диаметром 12 мм,мп,45.290000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
106,Арматура,Арматура класса А240 диаметром 6 мм,1п.м,10.25,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.320000,1.0,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
106,Арматура,Арматура класса А240 диаметром 6 мм,1п.м,10.25,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,1.0,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
106,Арматура,Арматура класса А240 диаметром 6 мм,1п.м,10.25,rebar_a240_d6_m,Арматура класса А240 диаметром 6 мм,мп,13.32,1.0,low,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
