price_code,section_code,section_name,estimate_line_name,unit,current_price_from_calculator,source_file
axis_marking_shift,earthworks,Земляные работы,"Вынос осей фундамента, котлована на участок",смена,15000,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json
beam_concrete_placing_work_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Бетонирование балки бетоном марки В22,5 (М300)",м3,20000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
bitumen_waterproofing_work_m2,waterproofing,Гидроизоляция фундаментной плиты,Гидроизоляция фундаментной плиты битумной мастикой в 2 слоя,м2,350,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json
block_adhesive_bag,load_bearing_walls_lintels,Несущие стены и перемычки,Монтажный клей для блоков 25 кг,мешок,340,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
block_delivery_truck,load_bearing_walls_lintels,Несущие стены и перемычки,"Доставка блоков, смеси",маш,28000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
block_unloading_manipulator_truck,load_bearing_walls_lintels,Несущие стены и перемычки,"Разгрузка блоков, смеси манипулятором",маш,15000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json
communications_installation_m,earthworks,Земляные работы,Закладка технологических входов коммуникаций до границы дома,мп,350,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json
communications_material_m,earthworks,Земляные работы,Материалы для устройства входов коммуникаций,мп,650,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json
concrete_b22_5_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Бетон марки В22,5 (М300)",м3,6400.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
concrete_delivery_trip,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Доставка бетона до объекта,рейс,7500.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
concrete_placing_work_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Бетонирование монолитной плиты перекрытия бетоном марки В22,5 (М300)",м3,12000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
concrete_pump_32m_shift,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Работа бетононасоса 32м + гаситель,смена,38000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
