row_number,section,name,unit,price,price_code
2,Бетон,Бетон B22.5 зона 1,м3,7200,
3,Бетон,Доставка бетона B22.5 зона 1,м3,1000,
4,Бетон,Насос 36м + гаситель зона 1,смена,44500,
5,Бетон,Бетон B22.5 зона 2,м3,6500,
6,Бетон,Доставка бетона B22.5 зона 2,м3,1100,
7,Бетон,Насос 36м + гаситель зона 2,смена,38000,
8,Бетон,Бетон B22.5 зона 3,м3,6500,
9,Бетон,Доставка бетона B22.5 зона 3,м3,750,
10,Бетон,Насос 36м + гаситель зона 3,смена,40000,
11,Бетон,Бетон B22.5 зона 4,м3,6600,
12,Бетон,Доставка бетона B22.5 зона 4,м3,1100,
13,Бетон,Насос 36м + гаситель зона 4,смена,45000,
14,Бетон,Бетон B22.5 зона 5,м3,6150,
15,Бетон,Доставка бетона B22.5 зона 5,м3,900,
16,Бетон,Насос 36м + гаситель зона 5,смена,39500,
17,Бетон,Бетон B22.5 зона 6,м3,6550,
18,Бетон,Доставка бетона B22.5 зона 6,м3,950,
19,Бетон,Насос 36м + гаситель зона 6,смена,40500,
20,Бетон,Бетон B22.5 зона 7,м3,6550,
21,Бетон,Доставка бетона B22.5 зона 7,м3,950,
22,Бетон,Насос 36м + гаситель зона 7,смена,40500,
23,Бетон,Бетон B22.5 зона 8,м3,7690,
24,Бетон,Доставка бетона B22.5 зона 8,м3,1400,
25,Бетон,Насос 36м + гаситель зона 8,смена,48000,
26,Песок,Песок 20м3 зона 1,м3,1400,
27,Песок,Песок 20м3 зона 2,м3,1300,
28,Песок,Песок 20м3 зона 3,м3,1300,
29,Песок,Песок 20м3 зона 4,м3,1300,
30,Песок,Песок 20м3 зона 5,м3,1300,
31,Песок,Песок 20м3 зона 6,м3,1300,
32,Песок,Песок 20м3 зона 7,м3,1300,
33,Песок,Песок 20м3 зона 8,м3,1300,
34,Песок,Песок 20м3 зона ГФК/ЛПК и т.д./А108,м3,1300,
35,Пиломатериал,Доска обрезная 25х100х6000мм 1-сорт ГОСТ,шт,265,
36,Пиломатериал,Доска обрезная 25х150х6000мм 1-сорт ГОСТ,шт,397,
37,Пиломатериал,Доска обрезная 50х100х6000мм 1-сорт ГОСТ,шт,530,
38,Пиломатериал,Доска обрезная 50х150х6000мм 1-сорт ГОСТ,шт,795,
39,Пиломатериал,Доска обрезная 50х200х6000мм 1-сорт ГОСТ,шт,1093,
40,Пиломатериал,Брус обрезной 100х100х6000мм 1-сорт ГОСТ,шт,1093,
41,Пиломатериал,Брус обрезной 100х150х6000мм 1-сорт ГОСТ,шт,1590,
42,Пиломатериал,Брус обрезной 150х150х6000мм 1-сорт ГОСТ,шт,2500,
43,Пиломатериал,Доска сухая строганная 50х300х6000мм,шт,3800,
44,Пиломатериал,Доска сухая строганная 20х90х6000мм,шт,360,
45,Пиломатериал,Доска сухая строганная 20х140х6000мм,шт,540,
46,Пиломатериал,Доска сухая строганная 45х90х6000мм,шт,682,
47,Пиломатериал,Доска сухая строганная 45х140х6000мм,шт,1022,
48,Пиломатериал,Доска сухая строганная 45х190х6000мм,шт,1406,
49,Пиломатериал,Брус сухой строганный 90х90х6000мм,шт,1406,
50,Пиломатериал,Брус сухой строганный 90х140х6000мм,шт,2045,
51,Пиломатериал,Брус сухой строганный 140х140х6000мм,шт,3214,
52,Пиломатериал,Брус сухой строганный 140х190х6000мм,шт,4500,
53,Пиломатериал,Брус сухой строганный 50х50х3000мм,шт,200,
54,Пиломатериал,Брус сухой строганный 45х45х3000мм,шт,175,
55,Пиломатериал,Брус сухой строганный 40х50х3000мм,шт,175,
56,Пиломатериал,"Фанера 1,52х1,52*18",шт,1400,
57,Пиломатериал,Доска обрезная с антисептированием 25х100х6000мм 1-сорт ГОСТ,шт,310,
58,Пиломатериал,Доска обрезная с антисептированием 25х150х6000мм 1-сорт ГОСТ,шт,465,
59,Пиломатериал,Доска обрезная с антисептированием 50х100х6000мм 1-сорт ГОСТ,шт,621,
60,Пиломатериал,Доска обрезная с антисептированием  50х150х6000мм 1-сорт ГОСТ,шт,931,
61,Пиломатериал,Доска обрезная с антисептированием 50х200х6000мм 1-сорт ГОСТ,шт,1281,
62,Пиломатериал,Брус обрезной с антисептированием 100х100х6000мм 1-сорт ГОСТ,шт,1281,
63,Пиломатериал,Брус обрезной с антисептированием 100х150х6000мм 1-сорт ГОСТ,шт,1863,
64,Пиломатериал,Брус обрезной с антисептированием 150х150х6000мм 1-сорт ГОСТ,шт,2928,
65,Пиломатериал,Доска сухая строганная с антисептированием 50х300х6000мм,шт,4200,
66,Пиломатериал,Доска сухая строганная с антисептированием 20х90х6000мм,шт,420,
67,Пиломатериал,Доска сухая строганная с антисептированием 20х140х6000мм,шт,620,
68,Пиломатериал,Доска сухая строганная с антисептированием 45х90х6000мм,шт,772,
69,Пиломатериал,Доска сухая строганная с антисептированием 45х140х6000мм,шт,1159,
70,Пиломатериал,Доска сухая строганная с антисептированием 45х190х6000мм,шт,1593,
71,Пиломатериал,Брус сухой строганный с антисептированием 90х90х6000мм,шт,1593,
