price_code,section_code,section_name,estimate_line_name,unit,line_type,current_price_from_calculator,source_file,confidence
axis_marking_shift,earthworks,Земляные работы,"Вынос осей фундамента, котлована на участок",смена,,15000,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json,from_calculator_result
axis_marking_shift,earthworks,Земляные работы,"Вынос осей фундамента, котлована на участок",смена,,20000,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
beam_concrete_placing_work_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Бетонирование балки бетоном марки В22,5 (М300)",м3,work,20000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
bitumen_mastic_aquamast_18kg_item,waterproofing,Гидроизоляция фундаментной плиты,"Мастика гидроизоляционная битумная для фундаментов AquaMast, 18 кг",шт,,2780,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json,from_calculator_result
bitumen_primer_aquamast_18l_item,waterproofing,Гидроизоляция фундаментной плиты,"Праймер битумный AquaMast, 18 л",шт,,2770,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json,from_calculator_result
bitumen_waterproofing_work_m2,waterproofing,Гидроизоляция фундаментной плиты,Гидроизоляция фундаментной плиты битумной мастикой в 2 слоя,м2,,350,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json,from_calculator_result
block_adhesive_bag,load_bearing_walls_lintels,Несущие стены и перемычки,Монтажный клей для блоков 25 кг,мешок,,340,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
block_adhesive_bag,load_bearing_walls_lintels,Несущие стены и перемычки,Монтажный клей для парапета и верхнего уровня,мешок,,340,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
block_delivery_truck,load_bearing_walls_lintels,Несущие стены и перемычки,"Доставка блоков, смеси",маш,,28000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
block_unloading_manipulator_truck,load_bearing_walls_lintels,Несущие стены и перемычки,"Разгрузка блоков, смеси манипулятором",маш,,15000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
communications_installation_m,earthworks,Земляные работы,Закладка технологических входов коммуникаций до границы дома,мп,,350,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
communications_material_m,earthworks,Земляные работы,Материалы для устройства входов коммуникаций,мп,,650,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
concrete_b22_5_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Бетон марки В22,5 (М300)",м3,materials,6400.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
concrete_b22_5_m3,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),"Бетон марки В22,5 (М300)",м3,materials,6400.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
concrete_b22_5_m3,foundation_slab,Устройство фундаментной плиты,"Бетон марки В22,5 (М300)",м3,,6400,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
concrete_b22_5_m3,load_bearing_walls_lintels,Несущие стены и перемычки,"Бетон В22,5 М300 для перемычек",м3,,6400,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
concrete_delivery_trip,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Доставка бетона до объекта,рейс,logistics_machinery,7500.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
concrete_delivery_trip,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),Доставка бетона до объекта,рейс,logistics_machinery,7500.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
concrete_delivery_trip,foundation_slab,Устройство фундаментной плиты,Доставка бетона до объекта,рейс,,7500,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
concrete_delivery_trip,load_bearing_walls_lintels,Несущие стены и перемычки,Доставка бетона до объекта,рейс,,7500,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
concrete_placing_work_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,"Бетонирование монолитной плиты перекрытия бетоном марки В22,5 (М300)",м3,work,12000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
concrete_placing_work_m3,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),"Бетонирование монолитной плиты перекрытия бетоном марки В22,5 (М300)",м3,work,12000.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
concrete_placing_work_m3,foundation_slab,Устройство фундаментной плиты,"Бетонирование фундаментной плиты в опалубке бетоном В22,5 (М300)",м3,,12000,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
concrete_pump_32m_shift,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Работа бетононасоса 32м + гаситель,смена,machinery_fixed,38000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
